"Contract Number","Plan ID","Organization Type","Plan Type","Offers Part D","Organization Name","Organization Marketing Name","Plan Name","Parent Organization","Contract Effective Date","Enrollment"
"H0137","001","Demo","Medicare-Medicaid Plan HMO","Yes","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance (Medicare-Medicaid Plan)","Commonwealth Care Alliance, Inc.","10/01/2013","22541"
"H0148","001","Demo","Medicare-Medicaid Plan HMO","Yes","BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN","Blue Shield of California Promise Health Plan","Blue Shield Promise Cal MediConnect Plan (Medicare-Medicaid Plan)","California Physicians' Service","04/01/2014","2283"
"H0148","002","Demo","Medicare-Medicaid Plan HMO","Yes","BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN","Blue Shield of California Promise Health Plan","Blue Shield Promise Cal MediConnect Plan (Medicare-Medicaid Plan)","California Physicians' Service","04/01/2014","2712"
"H0154","008","Local CCP","HMO","No","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Select (HMO)","Triton Health Systems, L.L.C.","05/01/1998","451"
"H0154","011","Local CCP","HMO","Yes","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Premier (HMO)","Triton Health Systems, L.L.C.","05/01/1998","2825"
"H0154","012","Local CCP","HMO","Yes","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Extra Value (HMO SNP)","Triton Health Systems, L.L.C.","05/01/1998","18606"
"H0154","014","Local CCP","HMO","Yes","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Me (HMO)","Triton Health Systems, L.L.C.","05/01/1998","4193"
"H0154","015","Local CCP","HMO","Yes","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Plus (HMO)","Triton Health Systems, L.L.C.","05/01/1998","23423"
"H0154","016","Local CCP","HMO","Yes","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Prime (HMO)","Triton Health Systems, L.L.C.","05/01/1998","339"
"H0154","801","Local CCP","HMO","Yes","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Group Plan with Rx (CY) (HMO)","Triton Health Systems, L.L.C.","05/01/1998","*"
"H0154","802","Local CCP","HMO","No","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Group Plan (no Rx) (HMO)","Triton Health Systems, L.L.C.","05/01/1998","*"
"H0154","803","Local CCP","HMO","Yes","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Plus Group Plan with Rx (not CY) (HMO)","Triton Health Systems, L.L.C.","05/01/1998","*"
"H0169","001","Local CCP","HMO","Yes","UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealthcare","UnitedHealthcare Dual Complete (HMO SNP)","UnitedHealth Group, Inc.","01/01/2018","13794"
"H0169","002","Local CCP","HMO","Yes","UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealthcare","UnitedHealthcare Dual Complete (HMO SNP)","UnitedHealth Group, Inc.","01/01/2018","8864"
"H0169","003","Local CCP","HMO","Yes","UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealthcare","UnitedHealthcare Dual Complete (HMO SNP)","UnitedHealth Group, Inc.","01/01/2018","6320"
"H0174","001","Local CCP","HMO","Yes","WELLCARE OF TEXAS, INC.","WellCare","WellCare TexanPlus Star (HMO SNP)","WellCare Health Plans, Inc.","01/01/2016","1057"
"H0174","002","Local CCP","HMO","Yes","WELLCARE OF TEXAS, INC.","WellCare","WellCare TexanPlus Classic (HMO)","WellCare Health Plans, Inc.","01/01/2016","327"
"H0174","003","Local CCP","HMO","Yes","WELLCARE OF TEXAS, INC.","WellCare","WellCare TexanPlus Classic (HMO)","WellCare Health Plans, Inc.","01/01/2016","360"
"H0174","004","Local CCP","HMO","Yes","WELLCARE OF TEXAS, INC.","WellCare","WellCare Access (HMO SNP)","WellCare Health Plans, Inc.","01/01/2016","8561"
"H0174","005","Local CCP","HMOPOS","Yes","WELLCARE OF TEXAS, INC.","WellCare","WellCare Value (HMO-POS)","WellCare Health Plans, Inc.","01/01/2016","12637"
"H0174","006","Local CCP","HMO","Yes","WELLCARE OF TEXAS, INC.","WellCare","WellCare Liberty (HMO SNP)","WellCare Health Plans, Inc.","01/01/2016","2857"
"H0174","007","Local CCP","HMO","Yes","WELLCARE OF TEXAS, INC.","WellCare","WellCare Dividend Prime (HMO)","WellCare Health Plans, Inc.","01/01/2016","4957"
"H0192","001","Demo","Medicare-Medicaid Plan HMO","Yes","AMERIHEALTH MICHIGAN, INC.","AmeriHealth Caritas VIP Care Plus","AmeriHealth Caritas VIP Care Plus (Medicare-Medicaid Plan)","Independence Health Group","05/01/2015","3077"
"H0216","001","National PACE","National PACE","Yes","PACE IOWA","Immanuel Pathways Iowa","PACE Iowa (PACE)","Immanuel","01/01/2012","351"
"H0216","002","National PACE","National PACE","Yes","PACE IOWA","Immanuel Pathways Iowa","PACE Iowa (PACE)","Immanuel","01/01/2012","*"
"H0251","002","Local CCP","HMO","Yes","UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealthcare","UnitedHealthcare Dual Complete (HMO SNP)","UnitedHealth Group, Inc.","01/01/2007","60649"
"H0251","004","Local CCP","HMO","Yes","UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealthcare","UnitedHealthcare Dual Complete ONE (HMO SNP)","UnitedHealth Group, Inc.","01/01/2007","1593"
"H0251","005","Local CCP","HMO","Yes","UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealthcare","UnitedHealthcare Dual Complete ONE Plus (HMO SNP)","UnitedHealth Group, Inc.","01/01/2007","81"
"H0270","001","Local CCP","Local PPO","Yes","WELLCARE HEALTH INSURANCE COMPANY OF AMERICA","WellCare","WellCare Premier (PPO)","WellCare Health Plans, Inc.","01/01/2019","82"
"H0271","002","Local CCP","Local PPO","Yes","SYMPHONIX HEALTH INSURANCE, INC.","UnitedHealthcare","UnitedHealthcare MedicareComplete Assure (PPO)","UnitedHealth Group, Inc.","01/01/2019","1216"
"H0271","003","Local CCP","Local PPO","Yes","SYMPHONIX HEALTH INSURANCE, INC.","UnitedHealthcare","UnitedHealthcare MedicareComplete Assure (PPO)","UnitedHealth Group, Inc.","01/01/2019","2095"
"H0271","004","Local CCP","Local PPO","Yes","SYMPHONIX HEALTH INSURANCE, INC.","UnitedHealthcare","UnitedHealthcare MedicareComplete Assure (PPO)","UnitedHealth Group, Inc.","01/01/2019","2495"
"H0271","005","Local CCP","Local PPO","Yes","SYMPHONIX HEALTH INSURANCE, INC.","UnitedHealthcare","UnitedHealthcare Dual Complete (PPO SNP)","UnitedHealth Group, Inc.","01/01/2019","4457"
"H0271","006","Local CCP","Local PPO","Yes","SYMPHONIX HEALTH INSURANCE, INC.","UnitedHealthcare","UnitedHealthcare Dual Complete (PPO SNP)","UnitedHealth Group, Inc.","01/01/2019","2470"
"H0271","007","Local CCP","Local PPO","Yes","SYMPHONIX HEALTH INSURANCE, INC.","UnitedHealthcare","UnitedHealthcare MedicareComplete Assure (PPO)","UnitedHealth Group, Inc.","01/01/2019","478"
"H0271","008","Local CCP","Local PPO","Yes","SYMPHONIX HEALTH INSURANCE, INC.","UnitedHealthcare","UnitedHealthcare MedicareComplete Assure (PPO)","UnitedHealth Group, Inc.","01/01/2019","3250"
"H0271","010","Local CCP","Local PPO","Yes","SYMPHONIX HEALTH INSURANCE, INC.","UnitedHealthcare","UnitedHealthcare MedicareComplete Assure (PPO)","UnitedHealth Group, Inc.","01/01/2019","193"
"H0271","011","Local CCP","Local PPO","Yes","SYMPHONIX HEALTH INSURANCE, INC.","UnitedHealthcare","UnitedHealthcare MedicareComplete Assure (PPO)","UnitedHealth Group, Inc.","01/01/2019","68"
"H0271","012","Local CCP","Local PPO","Yes","SYMPHONIX HEALTH INSURANCE, INC.","UnitedHealthcare","UnitedHealthcare MedicareComplete Assure (PPO)","UnitedHealth Group, Inc.","01/01/2019","592"
"H0271","013","Local CCP","Local PPO","Yes","SYMPHONIX HEALTH INSURANCE, INC.","UnitedHealthcare","UnitedHealthcare Dual Complete (PPO SNP)","UnitedHealth Group, Inc.","01/01/2019","2477"
"H0271","014","Local CCP","Local PPO","Yes","SYMPHONIX HEALTH INSURANCE, INC.","UnitedHealthcare","UnitedHealthcare Dual Complete (PPO SNP)","UnitedHealth Group, Inc.","01/01/2019","15553"
"H0281","001","Demo","Medicare-Medicaid Plan HMO","Yes","ILLINICARE HEALTH PLAN","IlliniCare Health","IlliniCare Health - MMAI (Medicare-Medicaid Plan)","Centene Corporation","02/01/2014","8104"
"H0292","001","Local CCP","HMO","Yes","HUMANA HEALTH PLAN OF OHIO, INC.","Humana","Humana Community (HMO)","Humana Inc.","01/01/2019","1067"
"H0292","002","Local CCP","HMO","Yes","HUMANA HEALTH PLAN OF OHIO, INC.","Humana","Humana Gold Plus H0292-002 (HMO)","Humana Inc.","01/01/2019","3403"
"H0294","002","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare MedicareComplete Assist (PPO SNP)","UnitedHealth Group, Inc.","01/01/2012","2794"
"H0294","004","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare MedicareComplete Open (PPO)","UnitedHealth Group, Inc.","01/01/2012","7134"
"H0294","010","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare MedicareComplete Assist (PPO SNP)","UnitedHealth Group, Inc.","01/01/2012","448"
"H0294","011","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare MedicareComplete Open (PPO)","UnitedHealth Group, Inc.","01/01/2012","1469"
"H0294","012","Local CCP","Local PPO","Yes","CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare MedicareComplete Open Premier (PPO)","UnitedHealth Group, Inc.","01/01/2012","1774"
"H0294","014","Local CCP","Local PPO","No","CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY","UnitedHealthcare","UnitedHealthcare MedicareComplete Open Essential (PPO)","UnitedHealth Group, Inc.","01/01/2012","354"
"H0302","001","Local CCP","HMO","Yes","MEDISUN, INC.","Blue Cross Blue Shield of Arizona Advantage","Blue Medicare Advantage Plus (HMO)","Blue Cross Blue Shield of Arizona","08/01/1999","17469"
"H0302","006","Local CCP","HMO","Yes","MEDISUN, INC.","Blue Cross Blue Shield of Arizona Advantage","Blue Medicare Advantage Classic (HMO)","Blue Cross Blue Shield of Arizona","08/01/1999","20376"
"H0302","008","Local CCP","HMO","Yes","MEDISUN, INC.","Blue Cross Blue Shield of Arizona Advantage","Blue Medicare Advantage Classic (HMO)","Blue Cross Blue Shield of Arizona","08/01/1999","4477"
"H0302","009","Local CCP","HMO","Yes","MEDISUN, INC.","Blue Cross Blue Shield of Arizona Advantage","Blue Medicare Advantage Standard (HMO)","Blue Cross Blue Shield of Arizona","08/01/1999","56"
"H0302","801","Local CCP","HMO","No","MEDISUN, INC.","Blue Cross Blue Shield of Arizona Advantage","Blue Medicare Advantage Employer Plan (HMO)","Blue Cross Blue Shield of Arizona","08/01/1999","*"
"H0321","002","Local CCP","HMO","Yes","ARIZONA PHYSICIANS IPA, INC.","UnitedHealthcare","UnitedHealthcare Dual Complete (HMO SNP)","UnitedHealth Group, Inc.","09/01/2005","43029"
"H0321","004","Local CCP","HMO","Yes","ARIZONA PHYSICIANS IPA, INC.","UnitedHealthcare","UnitedHealthcare Dual Complete ONE (HMO SNP)","UnitedHealth Group, Inc.","09/01/2005","3496"
"H0332","001","Local CCP","HMO","No","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Essential (HMO)","Kelsey-Seybold Medical Group, PLLC","01/01/2008","1862"
"H0332","002","Local CCP","HMO","Yes","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Rx (HMO)","Kelsey-Seybold Medical Group, PLLC","01/01/2008","24729"
"H0332","003","Local CCP","HMOPOS","No","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Essential+Choice (HMO-POS)","Kelsey-Seybold Medical Group, PLLC","01/01/2008","922"
"H0332","004","Local CCP","HMOPOS","Yes","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Rx+Choice (HMO-POS)","Kelsey-Seybold Medical Group, PLLC","01/01/2008","1543"
"H0332","801","Local CCP","HMO","No","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Essential Retiree (HMO)","Kelsey-Seybold Medical Group, PLLC","01/01/2008","*"
"H0332","803","Local CCP","HMO","Yes","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Rx Retiree (HMO)","Kelsey-Seybold Medical Group, PLLC","01/01/2008","*"
"H0332","804","Local CCP","HMO","No","KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","KelseyCare Advantage Essential+Choice Retiree (HMO)","Kelsey-Seybold Medical Group, PLLC","01/01/2008","*"
