Contract ID,Plan ID,Organization Type,Plan Type,Offers Part D,SNP Plan,EGHP,Organization Name,Organization Marketing Name,Plan Name,Parent Organization,Contract Effective Date
H0062,803,Local CCP,HMO/HMOPOS,Yes,No,Yes,"SUPERIOR HEALTHPLAN COMMUNITY SOLUTIONS, INC.",Allwell,Allwell Group (HMO),Centene Corporation,01/01/2017
H0088,1,Local CCP,Local PPO,Yes,No,No,"WELLCARE HEALTH INSURANCE OF NEW YORK, INC.",WellCare,WellCare Premier (PPO),"WellCare Health Plans, Inc.",01/01/2018
H0104,12,Local CCP,Local PPO,Yes,No,No,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),BlueCross BlueShield of Alabama,07/01/2005
H0104,14,Local CCP,Local PPO,Yes,No,No,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),BlueCross BlueShield of Alabama,07/01/2005
H0104,15,Local CCP,Local PPO,Yes,No,No,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),BlueCross BlueShield of Alabama,07/01/2005
H0104,801,Local CCP,Local PPO,No,No,Yes,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,Blue Advantage Employer Group Plan 801 (PPO),BlueCross BlueShield of Alabama,07/01/2005
H0104,802,Local CCP,Local PPO,Yes,No,Yes,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,Blue Advantage Employer Group Plan 802 (PPO),BlueCross BlueShield of Alabama,07/01/2005
H0104,804,Local CCP,Local PPO,Yes,No,Yes,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,Blue Advantage Employer Group Plan 804 (PPO),BlueCross BlueShield of Alabama,07/01/2005
H0104,805,Local CCP,Local PPO,Yes,No,Yes,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,Blue Advantage Employer Group Plan 805 (PPO),BlueCross BlueShield of Alabama,07/01/2005
H0104,806,Local CCP,Local PPO,Yes,No,Yes,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,Blue Advantage Employer Group Plan 806 (PPO),BlueCross BlueShield of Alabama,07/01/2005
H0104,807,Local CCP,Local PPO,Yes,No,Yes,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,Blue Advantage Employer Group Plan 807 (PPO),BlueCross BlueShield of Alabama,07/01/2005
H0105,1,National PACE,National PACE,Yes,No,No,THE METHODIST OAKS,The Methodist Oaks d.b.a. The Oaks PACE,The Methodist Oaks d.b.a. The Oaks PACE (PACE),The Methodist Oaks,03/01/2008
H0105,2,National PACE,National PACE,Yes,No,No,THE METHODIST OAKS,The Methodist Oaks d.b.a. The Oaks PACE,The Methodist Oaks d.b.a. The Oaks PACE (PACE),The Methodist Oaks,03/01/2008
H0107,3,Local CCP,Local PPO,Yes,No,No,HEALTH CARE SERVICE CORPORATION,Blue Cross and Blue Shield of Montana,Blue Cross Medicare Advantage Classic (PPO),Health Care Service Corporation,01/01/2014
H0107,4,Local CCP,Local PPO,Yes,No,No,HEALTH CARE SERVICE CORPORATION,Blue Cross and Blue Shield of Montana,Blue Cross Medicare Advantage Optimum (PPO),Health Care Service Corporation,01/01/2014
H0107,801,Local CCP,Local PPO,Yes,No,Yes,HEALTH CARE SERVICE CORPORATION,Blue Cross and Blue Shield of Montana,Blue Cross Medicare Advantage Employer Ideal (PPO),Health Care Service Corporation,01/01/2014
H0107,802,Local CCP,Local PPO,Yes,No,Yes,HEALTH CARE SERVICE CORPORATION,Blue Cross and Blue Shield of Montana,Blue Cross Medicare Advantage Employer Expanded (PPO),Health Care Service Corporation,01/01/2014
H0107,803,Local CCP,Local PPO,No,No,Yes,HEALTH CARE SERVICE CORPORATION,Blue Cross and Blue Shield of Montana,Blue Cross Medicare Advantage (PPO),Health Care Service Corporation,01/01/2014
H0111,1,Local CCP,Local PPO,Yes,No,No,"WELLCARE OF GEORGIA, INC.",WellCare,WellCare Premier (PPO),"WellCare Health Plans, Inc.",01/01/2018
H0111,2,Local CCP,Local PPO,Yes,No,No,"WELLCARE OF GEORGIA, INC.",WellCare,WellCare Prime (PPO),"WellCare Health Plans, Inc.",01/01/2018
H0112,1,National PACE,National PACE,Yes,No,No,"MORSE LIFE HOME CARE, INC.",Palm Beach PACE,Palm Beach PACE (PACE),"Morse Life Home Care, Inc.",11/01/2013
H0112,2,National PACE,National PACE,Yes,No,No,"MORSE LIFE HOME CARE, INC.",Palm Beach PACE,Palm Beach PACE (PACE),"Morse Life Home Care, Inc.",11/01/2013
H0137,1,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",Commonwealth Care Alliance (Medicare-Medicaid Plan),"Commonwealth Care Alliance, Inc.",10/01/2013
H0148,1,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN,Blue Shield of California Promise Health Plan,Blue Shield Promise Cal MediConnect Plan (Medicare-Medicaid Plan),California Physicians' Service,04/01/2014
H0148,2,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN,Blue Shield of California Promise Health Plan,Blue Shield Promise Cal MediConnect Plan (Medicare-Medicaid Plan),California Physicians' Service,04/01/2014
H0154,8,Local CCP,HMO/HMOPOS,No,No,No,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Select (HMO),"Triton Health Systems, L.L.C.",05/01/1998
H0154,11,Local CCP,HMO/HMOPOS,Yes,No,No,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Premier (HMO),"Triton Health Systems, L.L.C.",05/01/1998
H0154,12,Local CCP,HMO/HMOPOS,Yes,Yes,No,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Extra Value (HMO SNP),"Triton Health Systems, L.L.C.",05/01/1998
H0154,14,Local CCP,HMO/HMOPOS,Yes,No,No,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Me (HMO),"Triton Health Systems, L.L.C.",05/01/1998
H0154,15,Local CCP,HMO/HMOPOS,Yes,No,No,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Plus (HMO),"Triton Health Systems, L.L.C.",05/01/1998
H0154,16,Local CCP,HMO/HMOPOS,Yes,No,No,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Prime (HMO),"Triton Health Systems, L.L.C.",05/01/1998
H0154,801,Local CCP,HMO/HMOPOS,Yes,No,Yes,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Group Plan with Rx (CY) (HMO),"Triton Health Systems, L.L.C.",05/01/1998
H0154,802,Local CCP,HMO/HMOPOS,No,No,Yes,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Group Plan (no Rx) (HMO),"Triton Health Systems, L.L.C.",05/01/1998
H0154,803,Local CCP,HMO/HMOPOS,Yes,No,Yes,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Plus Group Plan with Rx (not CY) (HMO),"Triton Health Systems, L.L.C.",05/01/1998
H0169,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete (HMO SNP),"UnitedHealth Group, Inc.",01/01/2018
H0169,2,Local CCP,HMO/HMOPOS,Yes,Yes,No,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete (HMO SNP),"UnitedHealth Group, Inc.",01/01/2018
H0169,3,Local CCP,HMO/HMOPOS,Yes,Yes,No,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete (HMO SNP),"UnitedHealth Group, Inc.",01/01/2018
H0174,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,"WELLCARE OF TEXAS, INC.",WellCare,WellCare TexanPlus Star (HMO SNP),"WellCare Health Plans, Inc.",01/01/2016
H0174,2,Local CCP,HMO/HMOPOS,Yes,No,No,"WELLCARE OF TEXAS, INC.",WellCare,WellCare TexanPlus Classic (HMO),"WellCare Health Plans, Inc.",01/01/2016
H0174,3,Local CCP,HMO/HMOPOS,Yes,No,No,"WELLCARE OF TEXAS, INC.",WellCare,WellCare TexanPlus Classic (HMO),"WellCare Health Plans, Inc.",01/01/2016
H0174,4,Local CCP,HMO/HMOPOS,Yes,Yes,No,"WELLCARE OF TEXAS, INC.",WellCare,WellCare Access (HMO SNP),"WellCare Health Plans, Inc.",01/01/2016
H0174,5,Local CCP,HMO/HMOPOS,Yes,No,No,"WELLCARE OF TEXAS, INC.",WellCare,WellCare Value (HMO-POS),"WellCare Health Plans, Inc.",01/01/2016
H0174,6,Local CCP,HMO/HMOPOS,Yes,Yes,No,"WELLCARE OF TEXAS, INC.",WellCare,WellCare Liberty (HMO SNP),"WellCare Health Plans, Inc.",01/01/2016
H0174,7,Local CCP,HMO/HMOPOS,Yes,No,No,"WELLCARE OF TEXAS, INC.",WellCare,WellCare Dividend Prime (HMO),"WellCare Health Plans, Inc.",01/01/2016
H0192,1,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,"AMERIHEALTH MICHIGAN, INC.",AmeriHealth Caritas VIP Care Plus,AmeriHealth Caritas VIP Care Plus (Medicare-Medicaid Plan),Independence Health Group,05/01/2015
H0216,1,National PACE,National PACE,Yes,No,No,PACE IOWA,Immanuel Pathways Iowa,PACE Iowa (PACE),Immanuel,01/01/2012
H0216,2,National PACE,National PACE,Yes,No,No,PACE IOWA,Immanuel Pathways Iowa,PACE Iowa (PACE),Immanuel,01/01/2012
H0251,2,Local CCP,HMO/HMOPOS,Yes,Yes,No,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete (HMO SNP),"UnitedHealth Group, Inc.",01/01/2007
H0251,4,Local CCP,HMO/HMOPOS,Yes,Yes,No,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete ONE (HMO SNP),"UnitedHealth Group, Inc.",01/01/2007
H0251,5,Local CCP,HMO/HMOPOS,Yes,Yes,No,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete ONE Plus (HMO SNP),"UnitedHealth Group, Inc.",01/01/2007
H0270,1,Local CCP,Local PPO,Yes,No,No,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA,WellCare,WellCare Premier (PPO),"WellCare Health Plans, Inc.",01/01/2019
H0271,2,Local CCP,Local PPO,Yes,No,No,"SYMPHONIX HEALTH INSURANCE, INC.",UnitedHealthcare,UnitedHealthcare MedicareComplete Assure (PPO),"UnitedHealth Group, Inc.",01/01/2019
H0271,3,Local CCP,Local PPO,Yes,No,No,"SYMPHONIX HEALTH INSURANCE, INC.",UnitedHealthcare,UnitedHealthcare MedicareComplete Assure (PPO),"UnitedHealth Group, Inc.",01/01/2019
H0271,4,Local CCP,Local PPO,Yes,No,No,"SYMPHONIX HEALTH INSURANCE, INC.",UnitedHealthcare,UnitedHealthcare MedicareComplete Assure (PPO),"UnitedHealth Group, Inc.",01/01/2019
H0271,5,Local CCP,Local PPO,Yes,Yes,No,"SYMPHONIX HEALTH INSURANCE, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete (PPO SNP),"UnitedHealth Group, Inc.",01/01/2019
H0271,6,Local CCP,Local PPO,Yes,Yes,No,"SYMPHONIX HEALTH INSURANCE, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete (PPO SNP),"UnitedHealth Group, Inc.",01/01/2019
H0271,7,Local CCP,Local PPO,Yes,No,No,"SYMPHONIX HEALTH INSURANCE, INC.",UnitedHealthcare,UnitedHealthcare MedicareComplete Assure (PPO),"UnitedHealth Group, Inc.",01/01/2019
H0271,8,Local CCP,Local PPO,Yes,No,No,"SYMPHONIX HEALTH INSURANCE, INC.",UnitedHealthcare,UnitedHealthcare MedicareComplete Assure (PPO),"UnitedHealth Group, Inc.",01/01/2019
H0271,10,Local CCP,Local PPO,Yes,No,No,"SYMPHONIX HEALTH INSURANCE, INC.",UnitedHealthcare,UnitedHealthcare MedicareComplete Assure (PPO),"UnitedHealth Group, Inc.",01/01/2019
H0271,11,Local CCP,Local PPO,Yes,No,No,"SYMPHONIX HEALTH INSURANCE, INC.",UnitedHealthcare,UnitedHealthcare MedicareComplete Assure (PPO),"UnitedHealth Group, Inc.",01/01/2019
H0271,12,Local CCP,Local PPO,Yes,No,No,"SYMPHONIX HEALTH INSURANCE, INC.",UnitedHealthcare,UnitedHealthcare MedicareComplete Assure (PPO),"UnitedHealth Group, Inc.",01/01/2019
H0271,13,Local CCP,Local PPO,Yes,Yes,No,"SYMPHONIX HEALTH INSURANCE, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete (PPO SNP),"UnitedHealth Group, Inc.",01/01/2019
H0271,14,Local CCP,Local PPO,Yes,Yes,No,"SYMPHONIX HEALTH INSURANCE, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete (PPO SNP),"UnitedHealth Group, Inc.",01/01/2019
H0281,1,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,ILLINICARE HEALTH PLAN,IlliniCare Health,IlliniCare Health - MMAI (Medicare-Medicaid Plan),Centene Corporation,02/01/2014
H0292,1,Local CCP,HMO/HMOPOS,Yes,No,No,"HUMANA HEALTH PLAN OF OHIO, INC.",Humana,Humana Community (HMO),Humana Inc.,01/01/2019
H0292,2,Local CCP,HMO/HMOPOS,Yes,No,No,"HUMANA HEALTH PLAN OF OHIO, INC.",Humana,Humana Gold Plus H0292-002 (HMO),Humana Inc.,01/01/2019
H0294,2,Local CCP,Local PPO,Yes,Yes,No,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare MedicareComplete Assist (PPO SNP),"UnitedHealth Group, Inc.",01/01/2012
H0294,4,Local CCP,Local PPO,Yes,No,No,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare MedicareComplete Open (PPO),"UnitedHealth Group, Inc.",01/01/2012
H0294,10,Local CCP,Local PPO,Yes,Yes,No,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare MedicareComplete Assist (PPO SNP),"UnitedHealth Group, Inc.",01/01/2012
H0294,11,Local CCP,Local PPO,Yes,No,No,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare MedicareComplete Open (PPO),"UnitedHealth Group, Inc.",01/01/2012
H0294,12,Local CCP,Local PPO,Yes,No,No,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare MedicareComplete Open Premier (PPO),"UnitedHealth Group, Inc.",01/01/2012
H0294,14,Local CCP,Local PPO,No,No,No,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,UnitedHealthcare,UnitedHealthcare MedicareComplete Open Essential (PPO),"UnitedHealth Group, Inc.",01/01/2012
H0302,1,Local CCP,HMO/HMOPOS,Yes,No,No,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona Advantage,Blue Medicare Advantage Plus (HMO),Blue Cross Blue Shield of Arizona,08/01/1999
H0302,6,Local CCP,HMO/HMOPOS,Yes,No,No,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona Advantage,Blue Medicare Advantage Classic (HMO),Blue Cross Blue Shield of Arizona,08/01/1999
H0302,8,Local CCP,HMO/HMOPOS,Yes,No,No,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona Advantage,Blue Medicare Advantage Classic (HMO),Blue Cross Blue Shield of Arizona,08/01/1999
H0302,9,Local CCP,HMO/HMOPOS,Yes,No,No,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona Advantage,Blue Medicare Advantage Standard (HMO),Blue Cross Blue Shield of Arizona,08/01/1999
H0302,801,Local CCP,HMO/HMOPOS,No,No,Yes,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona Advantage,Blue Medicare Advantage Employer Plan (HMO),Blue Cross Blue Shield of Arizona,08/01/1999
H0321,2,Local CCP,HMO/HMOPOS,Yes,Yes,No,"ARIZONA PHYSICIANS IPA, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete (HMO SNP),"UnitedHealth Group, Inc.",09/01/2005
H0321,4,Local CCP,HMO/HMOPOS,Yes,Yes,No,"ARIZONA PHYSICIANS IPA, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete ONE (HMO SNP),"UnitedHealth Group, Inc.",09/01/2005
H0332,1,Local CCP,HMO/HMOPOS,No,No,No,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Essential (HMO),"Kelsey-Seybold Medical Group, PLLC",01/01/2008
