Organization Marketing Name;MajorInsuranceOrgName
Blue Cross Blue Shield of Minnesota;BlueCrossBlueShield
Blue Cross Blue Shield of South Carolina;BlueCrossBlueShield
Blue Cross Community MMAI;BlueCrossBlueShield
Blue Cross of Idaho;BlueCrossBlueShield
Blue Plus;BlueCrossBlueShield
Blue Shield of California;BlueCrossBlueShield
Blue Shield of California Promise Health Plan;BlueCrossBlueShield
BlueCare Plus Tennessee;BlueCrossBlueShield
BlueCross BlueShield of Tennessee;BlueCrossBlueShield
BlueCross BlueShield of WNY and BlueShield of NENY;BlueCrossBlueShield
Bluestem PACE;BlueCrossBlueShield
BMC HealthNet Plan Senior Care Options;BMC HealthNet Plan Senior Care Options
Brand New Day;Brand New Day
Brandman Centers for Senior Care;Brandman Centers for Senior Care
Bright Health;Bright Health
Buckeye Health Plan - MyCare Ohio;Buckeye Health Plan - MyCare Ohio
C and O Employees' Hospital Association;C and O Employees' Hospital Association
CalOptima PACE;CalOptima PACE
Capital Advantage Insurance Company;Capital Advantage Insurance Company
Capital Health Plan;Capital Health Plan
Care N' Care Insurance Company;Care N' Care Insurance Company
CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA;CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA
Care N_ Care Insurance Company;Care N_ Care Insurance Company
Care Resources;Care Resources
Care Wisconsin Health Plan, Inc.;Care Wisconsin Health Plan, Inc.
CareOregon Advantage;CareOregon Advantage
CarePartners of Connecticut;CarePartners of Connecticut
CarePartners PACE;CarePartners PACE
CarePlus Health Plans, Inc.;CarePlus Health Plans, Inc.
CareSource;CareSource
CareSource MyCare Ohio;CareSource MyCare Ohio
Carolina SeniorCare;Carolina SeniorCare
Catholic Health LIFE;Catholic Health LIFE
CDPHP Medicare Advantage;CDPHP Medicare Advantage
Center For Elders' Independence;Center For Elders' Independence
CenterLight Healthcare;CenterLight Healthcare
CenterLight TeamCare;CenterLight TeamCare
Centers Plan for FIDA Care Complete;Centers Plan for FIDA Care Complete
Centers Plan for Healthy Living;Centers Plan for Healthy Living
Centra PACE;Centra PACE
Central Health Medicare Plan;Central Health Medicare Plan
Cherokee Elder Care;Cherokee Elder Care
Chinese Community Health Plan;Chinese Community Health Plan
CHRISTUS Health Plan Generations;CHRISTUS Health Plan Generations
Cigna;Cigna
Cigna-HealthSpring;Cigna-HealthSpring
Cigna-HealthSpring CarePlan;Cigna-HealthSpring CarePlan
Clear Spring Health;Clear Spring Health
Clover Health;Clover Health
Commonwealth Care Alliance, Inc.;Commonwealth Care Alliance, Inc.
Community Care;Community Care
Community Care Alliance of Illinois, NFP;Community Care Alliance of Illinois, NFP
Community Health Group;Community Health Group
Community HealthFirst Medicare Advantage Plan;Community HealthFirst Medicare Advantage Plan
Community LIFE;Community LIFE
Community PACE at Home, Inc,;Community PACE at Home, Inc,
CommunityCare Advantage Medicare Plan (HMO);CommunityCare Advantage Medicare Plan (HMO)
CommunityCare Senior Health Plan (HMO);CommunityCare Senior Health Plan (HMO)
Complete Health with PACE;Complete Health with PACE
Complete Senior Care;Complete Senior Care
ConnectiCare;ConnectiCare
Consolidated Assoc Of Railroad Employees Hc;Consolidated Assoc Of Railroad Employees Hc
Constellation Health;Constellation Health
Coventry Health Care;Coventry Health Care
Dean Advantage, Prevea360 Medicare Advantage;Dean Advantage, Prevea360 Medicare Advantage
Dean Health Plan, Inc.;Dean Health Plan, Inc.
Denver Health Medical Plan, Inc.;Denver Health Medical Plan, Inc.
Devoted Health;Devoted Health
Doctors HealthCare Plans, Inc.;Doctors HealthCare Plans, Inc.
Easy Choice Health Plan;Easy Choice Health Plan
Eddy SeniorCare;Eddy SeniorCare
Elder Service Plan of Cambridge Health Alliance;Elder Service Plan of Cambridge Health Alliance
Elder Service Plan of Harbor Health Services, Inc;Elder Service Plan of Harbor Health Services, Inc
Elderhaus PACE;Elderhaus PACE
ElderONE an Affiliate of Rochester Regional Health;ElderONE an Affiliate of Rochester Regional Health
Elderplan;Elderplan
Elderplan FIDA Total Care;Elderplan FIDA Total Care
Element Care, Inc;Element Care, Inc
EmblemHealth Affinity Health Plan;EmblemHealth Affinity Health Plan
EmblemHealth Medicare HMO;EmblemHealth Medicare HMO
EmblemHealth Medicare PPO;EmblemHealth Medicare PPO
Empire BlueCross BlueShield;BlueCrossBlueShield
Eon Health;Eon Health
Essence Healthcare;Essence Healthcare
Essential Advantage;Essential Advantage
Excellus Health Plan, Inc;Excellus Health Plan, Inc
Fallon Health;Fallon Health
Fallon Health Weinberg-PACE;Fallon Health Weinberg-PACE
Fidelis Legacy Plan;Fidelis Legacy Plan
FIRST CHOICE VIP CARE PLUS;FIRST CHOICE VIP CARE PLUS
FirstCare Advantage;FirstCare Advantage
FirstMedicare Direct;FirstMedicare Direct
Florida Blue;BlueCrossBlueShield
Florida Blue HMO;BlueCrossBlueShield
Florida Blue Preferred HMO;BlueCrossBlueShield
Florida Pace Centers, Inc.;Florida Pace Centers, Inc.
Franciscan  Senior Health & Wellness;Franciscan  Senior Health & Wellness
Freedom Health, Inc.;Freedom Health, Inc.
Fresno PACE;Fresno PACE
Friday Health Plans of Colorado;Friday Health Plans of Colorado
Gateway Health Medicare Assured;Gateway Health Medicare Assured
Geisinger Gold;Geisinger Gold
Genesys PACE of Genesee County;Genesys PACE of Genesee County
GHS Senior Care;GHS Senior Care
GlobalHealth;GlobalHealth
Golden State;Golden State
Great Lakes PACE;Great Lakes PACE
Great Plains Medicare Advantage (HMO SNP);Great Plains Medicare Advantage (HMO SNP)
HAP Midwest MI Health Link;HAP Midwest MI Health Link
HAP Senior Plus;HAP Senior Plus
HAP Senior Plus (PPO);HAP Senior Plus (PPO)
Harvard Pilgrim Health Care of New England, Inc.;Harvard Pilgrim Health Care of New England, Inc.
Harvard Pilgrim Health Care, Inc.;Harvard Pilgrim Health Care, Inc.
Health Advantage;Health Advantage
Health Alliance Medicare;Health Alliance Medicare
Health Alliance Northwest;Health Alliance Northwest
Health First Health Plans, Inc.;Health First Health Plans, Inc.
Health Net Cal MediConnect Medicare Medicaid Plan;Health Net Cal MediConnect Medicare Medicaid Plan
HEALTH NET COMMUNITY SOLUTIONS, INC.;HEALTH NET COMMUNITY SOLUTIONS, INC.
Health Net Health Plan of Oregon, Inc.;Health Net Health Plan of Oregon, Inc.
Health Net Life Insurance Company;Health Net Life Insurance Company
Health Net of California;Health Net of California
Health New England Medicare Advantage Plans;Health New England Medicare Advantage Plans
Health Partners Medicare;Health Partners Medicare
Health Plan of San Mateo;Health Plan of San Mateo
Health Pointe of New York, LLC;Health Pointe of New York, LLC
Healthfirst Medicare Plan;Healthfirst Medicare Plan
HealthPartners;HealthPartners
HealthPartners UnityPoint Health;HealthPartners UnityPoint Health
HealthSpring of Florida, Inc.;HealthSpring of Florida, Inc.
HealthSun Health Plans, Inc.;HealthSun Health Plans, Inc.
Highmark Choice Company;Highmark Choice Company
Highmark Senior Health Company;Highmark Senior Health Company
Highmark Senior Solutions Company;Highmark Senior Solutions Company
HMO Louisiana;HMO Louisiana
HMSA Akamai Advantage;HMSA Akamai Advantage
Hope PACE;Hope PACE
Hopkins ElderPlus;Hopkins ElderPlus
Horizon Blue Cross Blue Shield of New Jersey;BlueCrossBlueShield
Humana;Humana
Huron Valley PACE;Huron Valley PACE
iCare;iCare
IEHP DualChoice;IEHP DualChoice
IlliniCare Health;IlliniCare Health
Immanuel Pathways Iowa;Immanuel Pathways Iowa
Immanuel Pathways Omaha;Immanuel Pathways Omaha
Imperial Health Plan of California, Inc.;Imperial Health Plan of California, Inc.
Imperial Insurance Company of Texas, Inc;Imperial Insurance Company of Texas, Inc
Independent Health;Independent Health
Independent Living Srvcs Of Central Ny;Independent Living Srvcs Of Central Ny
Indiana University Health Plans - Medicare;Indiana University Health Plans - Medicare
InnovAge California PACE;InnovAge California PACE
InnovAge Colorado PACE;InnovAge Colorado PACE
InnovAge New Mexico PACE;InnovAge New Mexico PACE
InnovAge Pennsylvania LIFE;InnovAge Pennsylvania LIFE
InnovAge Virginia PACE - Blue Ridge;BlueCrossBlueShield
InnovAge Virginia PACE - Richmond and Peninsula;InnovAge Virginia PACE - Richmond and Peninsula
InnovAge Virginia PACE- Roanoke Valley;InnovAge Virginia PACE- Roanoke Valley
Innovation Health Medicare;Innovation Health Medicare
Inspira Health Network LIFE;Inspira Health Network LIFE
Integra Managed Care;Integra Managed Care
Inter Valley Health Plan;Inter Valley Health Plan
Itasca Medical Care/IMCare Classic;Itasca Medical Care/IMCare Classic
Johns Hopkins HealthCare;Johns Hopkins HealthCare
Kaiser Foundation Health Plan of Washington;Kaiser
Kaiser Permanente;Kaiser
Kalos Health Plan;Kalos Health Plan
Kansas Health Advantage;Kansas Health Advantage
KelseyCare Advantage;KelseyCare Advantage
Keystone 65 HMO;Keystone 65 HMO
Keystone Health Plan Central, Inc.;Keystone Health Plan Central, Inc.
L.A. Care Cal MediConnect Plan;L.A. Care Cal MediConnect Plan
Lasso Healthcare;Lasso Healthcare
Liberty Advantage (HMO SNP);Liberty Advantage (HMO SNP)
LIFE Armstrong;LIFE Armstrong
LIFE at Lourdes;LIFE at Lourdes
LIFE Beaver and Lawrence Counties;LIFE Beaver and Lawrence Counties
LIFE Butler County;LIFE Butler County
LIFE Geisinger;LIFE Geisinger
LIFE Northwestern Pennsylvania;LIFE Northwestern Pennsylvania
LIFE PACE, INC.;LIFE PACE, INC.
LIFE Pittsburgh;LIFE Pittsburgh
LIFE St. Francis;LIFE St. Francis
LIFE St. Joseph of the Pines;LIFE St. Joseph of the Pines
LIFE St. Mary;LIFE St. Mary
LIFECIRCLES;LIFECIRCLES
LifeWorks Advantage (HMO SNP);LifeWorks Advantage (HMO SNP)
Longevity Health Plan (HMO SNP);Longevity Health Plan (HMO SNP)
Lutheran Senior LIFE;Lutheran Senior LIFE
Martin's Point Generations Advantage;Martin's Point Generations Advantage
McGregor PACE;McGregor PACE
MCS Classicare;MCS Classicare
Medica Health Plans;Medica Health Plans
Medica Insurance Company;Medica Insurance Company
Medical Associates Clinic Health Plan of Wisconsin;Medical Associates Clinic Health Plan of Wisconsin
Medical Associates Health Plan, Inc.;Medical Associates Health Plan, Inc.
Medical Mutual of Ohio;Medical Mutual of Ohio
Medicare y Mucho M_s;Medicare y Mucho M_s
MediGold;MediGold
Memorial Hermann Health Plan;Memorial Hermann Health Plan
Mercy Care Advantage;Mercy Care Advantage
Mercy LIFE;Mercy LIFE
Mercy LIFE - West Philadelphia;Mercy LIFE - West Philadelphia
Mercy LIFE of Alabama;Mercy LIFE of Alabama
MeridianCare;MeridianCare
MeridianComplete;MeridianComplete
MetroPlus Health Plan;MetroPlus Health Plan
Michigan Complete Health;Michigan Complete Health
Midland Care PACE;Midland Care PACE
Missouri Medicare Select (HMO SNP);Missouri Medicare Select (HMO SNP)
MMM of Florida, Inc.;MMM of Florida, Inc.
Moda Health Plan, Inc.;Moda Health Plan, Inc.
Molina Healthcare of California;Molina Healthcare of California
Molina Healthcare of Florida;Molina Healthcare of Florida
Molina Healthcare of Illinois;Molina Healthcare of Illinois
Molina Healthcare of Michigan;Molina Healthcare of Michigan
Molina Healthcare of New Mexico, Inc.;Molina Healthcare of New Mexico, Inc.
Molina Healthcare of Ohio;Molina Healthcare of Ohio
Molina Healthcare of South Carolina;Molina Healthcare of South Carolina
Molina Healthcare of Texas;Molina Healthcare of Texas
Molina Healthcare of Texas, Inc.;Molina Healthcare of Texas, Inc.
Molina Healthcare of Utah;Molina Healthcare of Utah
Molina Healthcare of Washington, Inc.;Molina Healthcare of Washington, Inc.
Molina Healthcare of Wisconsin;Molina Healthcare of Wisconsin
Mountain Empire PACE;Mountain Empire PACE
Mutual of Omaha Medicare Advantage;Mutual of Omaha Medicare Advantage
MVP HEALTH CARE;MVP HEALTH CARE
Nascentia Health Plus;Nascentia Health Plus
NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND;NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND
Neighborhood PACE;Neighborhood PACE
Network Health Medicare Advantage Plans;Network Health Medicare Advantage Plans
NHC Advantage (HMO SNP);NHC Advantage (HMO SNP)
Northland PACE Senior Care Services;Northland PACE Senior Care Services
NY Hotel Trades Council and Hotel Assn. of NYC;NY Hotel Trades Council and Hotel Assn. of NYC
On Lok Lifeways;On Lok Lifeways
OneCare;OneCare
OneCare Connect;OneCare Connect
Optima Medicare;Optima Medicare
Optimum HealthCare, Inc.;Optimum HealthCare, Inc.
PACE Baton Rouge;PACE Baton Rouge
PACE Central Michigan;PACE Central Michigan
Pace Greater New Orleans;Pace Greater New Orleans
PACE of Southwest Michigan;PACE of Southwest Michigan
PACE of the Ozarks;PACE of the Ozarks
PACE of the Southern Piedmont, Inc.;PACE of the Southern Piedmont, Inc.
PACE OF THE TRIAD;PACE OF THE TRIAD
PACE Organization Of Rhode Island;PACE Organization Of Rhode Island
PACE Southeast Michigan;PACE Southeast Michigan
PACE@Home;PACE@Home
PacificSource Medicare;PacificSource Medicare
Palm Beach PACE;Palm Beach PACE
Palmetto SeniorCare PACE;Palmetto SeniorCare PACE
Paramount Elite;Paramount Elite
Partners Health Plan;Partners Health Plan
Passport Advantage;Passport Advantage
Peoples Health;Peoples Health
Personal Choice 65 PPO;Personal Choice 65 PPO
Piedmont Health SeniorCare;Piedmont Health SeniorCare
Piedmont Medicare Advantage;Piedmont Medicare Advantage
PMC Medicare Choice;PMC Medicare Choice
Premera Blue Cross Medicare Advantage;BlueCrossBlueShield
Presbyterian Health Plan;Presbyterian Health Plan
Presbyterian Insurance Company, Inc.;Presbyterian Insurance Company, Inc.
PrimeTime Health Plan;PrimeTime Health Plan
PrimeWest Health;PrimeWest Health
Priority Health Medicare;Priority Health Medicare
Prominence Health Plan;Prominence Health Plan
Providence ElderPlace Portland;Providence ElderPlace Portland
Providence Health Assurance;Providence Health Assurance
Providence Health System;Providence Health System
Provider Partners Maryland Advantage Plan;Provider Partners Maryland Advantage Plan
Provider Partners Ohio Advantage Plan;Provider Partners Ohio Advantage Plan
Provider Partners Pennsylvania Advantage Plan;Provider Partners Pennsylvania Advantage Plan
PruittHealth Premier (HMO SNP);PruittHealth Premier (HMO SNP)
QUALITY HEALTH PLANS;QUALITY HEALTH PLANS
Redwood Coast PACE;Redwood Coast PACE
Regence BlueCross BlueShield of Oregon;BlueCrossBlueShield
Regence BlueCross BlueShield of Utah;BlueCrossBlueShield
Regence BlueShield;BlueCrossBlueShield
Regence BlueShield Of Idaho;BlueCrossBlueShield
RiverSpring FIDA Plan;RiverSpring FIDA Plan
RiverSpring Health Plans;RiverSpring Health Plans
Rocky Mountain Health Plans;Rocky Mountain Health Plans
Rocky Mountain PACE;Rocky Mountain PACE
Saint Francis LIFE;Saint Francis LIFE
Saint Joseph PACE;Saint Joseph PACE
Samaritan Advantage Health Plan;Samaritan Advantage Health Plan
San Diego PACE;San Diego PACE
Santa Clara Family Health Plan Cal MediConnect;Santa Clara Family Health Plan Cal MediConnect
Santa Fe Employes Hospital Assn. - Coast Lines;Santa Fe Employes Hospital Assn. - Coast Lines
SCAN Health Plan;SCAN Health Plan
Scott and White Health Plan;Scott and White Health Plan
Security Health Plan of Wisconsin, Inc.;Security Health Plan of Wisconsin, Inc.
SelectHealth;SelectHealth
Senior Care Partners P.A.C.E.;Senior Care Partners P.A.C.E.
Senior Care Plus;Senior Care Plus
Senior CommUnity Care of Colorado;Senior CommUnity Care of Colorado
Senior Community Care of Michigan;Senior Community Care of Michigan
Senior CommUnity Care of North Carolina;Senior CommUnity Care of North Carolina
Senior LIFE Altoona, Inc.;Senior LIFE Altoona, Inc.
Senior LIFE Greensburg, Inc.;Senior LIFE Greensburg, Inc.
Senior LIFE Johnstown, Inc.;Senior LIFE Johnstown, Inc.
Senior LIFE Lehigh Valley, Inc.;Senior LIFE Lehigh Valley, Inc.
Senior LIFE Washington / Uniontown / Greene;Senior LIFE Washington / Uniontown / Greene
Senior LIFE York, Inc.;Senior LIFE York, Inc.
Senior Preferred;Senior Preferred
Senior Total Life Care;Senior Total Life Care
Senior Whole Health;Senior Whole Health
Senior Whole Health of New York;Senior Whole Health of New York
Sentara PACE;Sentara PACE
Serenity Care PACE;Serenity Care PACE
Sharp Health Plan;Sharp Health Plan
Sidney Hillman HC;Sidney Hillman HC
Signature Advantage (HMO SNP);Signature Advantage (HMO SNP)
Silver Star;Silver Star
Simply Healthcare Plans, Inc.;Simply Healthcare Plans, Inc.
SIMPRA Advantage (PPO SNP);SIMPRA Advantage (PPO SNP)
SIOUXLAND PACE, INC.;SIOUXLAND PACE, INC.
Solis Health Plans;Solis Health Plans
South Country Health Alliance;South Country Health Alliance
SpiriTrust Lutheran LIFE;SpiriTrust Lutheran LIFE
St. Paul's PACE;St. Paul's PACE
Stanford Health Care Advantage;Stanford Health Care Advantage
StayWell Senior Care;StayWell Senior Care
Steward Health Choice Generations (HMO SNP);Steward Health Choice Generations (HMO SNP)
Stockton PACE;Stockton PACE
SummaCare Medicare Advantage Plans;SummaCare Medicare Advantage Plans
Summit ElderCare or Fallon Health;Summit ElderCare or Fallon Health
Suncoast PACE, Inc.;Suncoast PACE, Inc.
Sunrise Advantage Plan (HMO SNP);Sunrise Advantage Plan (HMO SNP)
Superior HealthPlan;Superior HealthPlan
Superior Select Health Plans;Superior Select Health Plans
Sutter SeniorCare PACE;Sutter SeniorCare PACE
SWH Whole Health FIDA Plan;SWH Whole Health FIDA Plan
The Basics at Jan Werner;The Basics at Jan Werner
The Health Plan;The Health Plan
The Methodist Oaks d.b.a. The Oaks PACE;The Methodist Oaks d.b.a. The Oaks PACE
Thome PACE;Thome PACE
Total Life Healthcare;Total Life Healthcare
Total Senior Care, Inc.;Total Senior Care, Inc.
Trillium Medicare Advantage;Trillium Medicare Advantage
Triple S Advantage;Triple S Advantage
Triple-S Advantage;Triple-S Advantage
TRU PACE;TRU PACE
Tufts Health Plan;Tufts Health Plan
UCare;UCare
UCare's MSHO;UCare's MSHO
Ultimate Health Plans;Ultimate Health Plans
Union Health Service, Inc.;Union Health Service, Inc.
Union Pacific Railroad Employes Health Systems;Union Pacific Railroad Employes Health Systems
United Mine Workers of America Health & Retirement;United Mine Workers of America Health & Retirement
UnitedHealthcare;UnitedHealthcare
UnitedHealthcare Community Plan;UnitedHealthcare
University of Maryland Health Advantage;University of Maryland Health Advantage
Uphams Corner Health Committee, Inc.;Uphams Corner Health Committee, Inc.
UPMC for Life;UPMC for Life
UPMC for Life Dual;UPMC for Life Dual
Upper Peninsula Health Plan;Upper Peninsula Health Plan
Upper Peninsula Health Plan (UPHP) MI Health Link;Upper Peninsula Health Plan (UPHP) MI Health Link
Valir PACE Foundation;Valir PACE Foundation
Valor Health Plan;Valor Health Plan
Vantage Health Plan, Inc.;Vantage Health Plan, Inc.
Via Christi HOPE;Via Christi HOPE
Vibra Health Plan;Vibra Health Plan
VillageCareMAX;VillageCareMAX
VillageHealth;VillageHealth
Virginia Premier;Virginia Premier
VISTA Health Plan Inc.;VISTA Health Plan Inc.
Vitality Health Plan of California;Vitality Health Plan of California
VIVA Medicare;VIVA Medicare
VNSNY CHOICE FIDA Complete;VNSNY CHOICE FIDA Complete
VNSNY CHOICE Medicare;VNSNY CHOICE Medicare
Wabash Mem. Hospital;Wabash Mem. Hospital
WellCare;WellCare
West Virginia Senior Advantage (HMO SNP);West Virginia Senior Advantage (HMO SNP)
Wyoming PACE;Wyoming PACE
