"","3030-Angiocardiography","3040-Audiology","3050-Bacteriology and Microbiology","3070-Birthing Center","3120-Cardiac Catheterization Laboratory","3140-Cardiology","3180-Chemistry","3190-Chemotherapy","3220-Circumcision","3230-CAT Scan","3240-Cytology","3260-Echocardiography","3280-EKG and EEG","3290-Electromyography","3320-Electroshock Therapy","3340-Gastro Intestinal Services","3350-Hematology","3360-Histology","3370-Holter Monitor","3380-Immunology","3390-Laboratory - Clinical","3420-Laboratory - Pathological","3430-Magnetic Resonance Imaging (MRI)","3440-Mammography","3450-Nuclear Medicine-Diagnostic","3480-Oncology","3540-Prosthetic Devices","3550-Psychiatric/Psychological Services","3560-Pulmonary Function Testing","3620-Stress Test","3630-Ultra Sound","3640-Urology","3650-Vascular Lab","3700-Operating Room","3800-Recovery Room","3900-Delivery Room & Labor Room","4000-Anesthesiology","4100-Radiology - Diagnostic","4200-Radiology-Therapeutic","4600-Whole Blood & Packed Red Blood Cells","4700-Blood Storing, Processing, & Trans.","4800-Intravenous Therapy","4900-Respiratory Therapy","5000-Physical Therapy","5100-Occupational Therapy","5200-Speech Pathology","5500-Med Supplies Charged to Patient","5600-Drugs Charged to Patients","5700-Renal Dialysis","5800-ASC","6000-Clinic","6100-Emergency","6201-Observation Beds (Distinct Part)","8600-Other Organ Acquisition (Specify)","PCCR_OR_and_Anesth_Costs"
"Acute leukemia w/o major O.R. procedure w/o CC/MCC",0,0,0,0,0,0,0,0,0,2324.2,0,0,182.25,0,0,0,0,0,0,0,4310.39,226.86,3835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.5,0,0,6230.35,0,0,0,0,0,0,264.773333333333,0,0,0,4996.34,4095,0,0
"Acute major eye infections w CC/MCC ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.17,0,0,0,0,909.62,0,0,0,0,0,0,0
"Acute major eye infections w/o CC/ MCC",0,0,0,0,0,0,0,0,0,2882.275,0,0,0,0,0,0,0,0,0,0,1236.76666666667,0,3002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,1353,0,0,0,0,0,1459.45333333333,0,0,0,1532.84666666667,3960,0,0
"Acute myocardia infarction, discharged alive w/o CC/MCC",0,0,207,0,9809.50432432433,4801.35052631579,822.95,0,0,3435.31035714286,0,2188.02296875,522.75,0,0,0,266.75,0,1447.61,0,1379.70948717949,0,3858.175,0,3495.85533333333,0,0,0,339.346,1002.18846153846,1244.14666666667,0,1194.465,5048.59,2250.31,0,409.5,454.618952380952,0,0,587,668.993461538462,1755.494375,540.55,362.576,644.29,795.756923076923,870.00126984127,0,0,139.2,1812.73575221239,900.850526315789,0,5458.09
"Acute myocardial infarction, discharged alive w CC",3326.68,0,300.666666666667,0,9713.44974358974,2798.58090909091,1095.95833333333,0,0,3254.38018181818,0,2244.59282051282,489.203681318681,0,0,0,249.857142857143,0,539.89,248,1783.33303418803,358.865,1715.645,0,4654.69358974359,0,0,0,658.963043478261,631.251538461538,960.68125,0,991.051666666667,380.9,685.65,0,296.66,528.538633540373,0,0,1594.32347826087,559.224074074074,1355.25944444444,497.64359375,397.857647058824,553.015,690.568571428571,971.661797235023,0,0,238.8,2166.89132075472,804.783125,0,677.56
"Acute myocardial infarction, discharged alive w MCC",0,0,708.2,0,9783.68205882353,2993.07825,1657.04733333333,0,0,3590.03463768116,0,2148.80962962963,676.315714285714,0,0,7644,625.02380952381,0,0,706.125,2266.62809128631,502.87,3096.91333333333,0,5177.39282051282,0,0,228,797.628372093023,473.345555555556,647.684285714286,0,1156.87739130435,2505.34615384615,582.6125,0,332.2675,592.109908675799,0,0,2260.57,471.675454545455,1468.28777777778,791.1823,702.687307692308,979.2565,1131.4173125,2068.91833333333,3050.07454545455,0,267.011875,2102.63287958115,653.134230769231,0,2837.61365384615
"Acute myocardial infarction, expired w CC",0,0,242,0,0,1951,1056,0,0,1399,0,2568,354.56,0,0,0,296.5,0,0,0,1124.46111111111,136.99,0,0,0,0,0,0,1879,0,0,0,0,2506.71,0,0,0,348.82,0,0,599.35,412.25,1364.705,417,0,1114,1889.94833333333,938.477777777778,0,0,0,1573.92666666667,0,0,2506.71
"Acute myocardial infarction, expired w MCC",0,0,382.8,0,10082.43,977.786666666667,1236.705,0,0,2212.49615384615,0,2592.39526315789,879.322692307692,1330.54,0,0,462.25,0,0,621,2226.53178571429,0,0,0,1822.75,0,0,0,547.87,0,725.0275,0,1105.4475,2103.43571428571,0,0,0,627.169,0,0,487.25,455.875,2354.53095238095,1233.22,0,495.83,1223.071875,3450.96125,604.09,0,194,3462.82708333333,1226.7,0,2103.43571428571
"Acute myocardial infarction, expired w/o CC/MCC",0,0,0,0,0,0,414,0,0,0,0,0,1006,0,0,0,0,0,0,0,1323,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,591,0,0,0,972,0,871,0,0,3864,2408.4,0,0,0,925,0,0,0
"Admit for renal dialysis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678.59,0,0,0,0,0,0,0,0,0,272.65,0,0,4553.53,0,0,0,496.94,0,0,3612.27,0,0,0,0,0,128.05,489.95,0,0,0,0,0,0,4553.53
"Adrenal & pituitary procedures w CC/ MCC",0,0,0,0,0,0,0,0,0,3930.50125,0,2312.17,104,0,0,0,0,0,0,0,1947.747,404.317272727273,5000,0,0,0,0,0,0,0,0,0,0,18476.988,1066.41,0,3404.83,1046.46,0,0,0,0,3325.13666666667,393.386666666667,468.5,0,2643.08636363636,2373.46181818182,0,12714.11,0,3119.6,0,0,21881.818
"Adrenal & pituitary procedures w/o CC/MCC",0,0,0,0,0,0,0,0,0,2903.912,0,0,0,0,0,0,0,0,0,0,1345.98090909091,472.8,5064.84,0,0,0,0,0,0,0,0,0,0,16224.519,1214.78,0,2916.39090909091,350.24,19676.38,0,0,0,0,350.34,0,0,1776.93363636364,1883.03363636364,0,14055.8,194,2220.99,0,0,19140.9099090909
"Aftercare w CC/MCC ",0,426.21,256,0,0,1324.94,365.25,0,0,4268.51545454545,0,1590.09214285714,545.771666666667,0,0,0,0,0,539.89,0,909.438535211268,136.99,5091.024,0,0,0,0,0,1989.12359550562,0,868.36,0,822.107142857143,2116.87,847.78,0,730.24,727.743870967742,0,0,1466.72916666667,462,2284.81136363636,5160.12585831063,5039.79250696379,2440.45345454545,1528.152,2775.76345070423,2463.22,0,1900,2351.20294117647,2291.25,0,2847.11
"Aftercare w/o CC/MCC",0,0,0,0,0,0,0,0,0,2347.74,0,1732.85,458.663333333333,0,0,0,0,0,0,0,541.327173913043,0,0,0,0,0,0,0,234,0,0,0,897,7995.47,1720.22,0,1767.59,730.216666666667,0,0,1669.05,0,518.92,3795.895,3776.68045454545,2588.92461538462,1011.548,1108.58620689655,0,0,0,1819.866,1198.5,0,9763.06
"Aftercare, musculoskeletal system & connective tissue w CC",0,0,329.666666666667,0,0,0,302.5,0,0,2980.9034375,0,1920.662,311.632666666667,0,0,0,0,0,539.89,0,635.461891025641,190.11,4395.375,0,0,0,213.76,0,978.62,0,812.648333333333,0,853.548846153846,7137.39833333333,1406.86,0,1485.2175,730.207529411765,15741.85,0,868.868333333333,406.03,1732.72533333333,5237.05579268293,4826.17467741936,1776.29913043478,1606.07894736842,2523.22089385475,0,4963.92,685.813333333333,1866.31709677419,1629.04666666667,0,8622.61583333333
"Aftercare, musculoskeletal system & connective tissue w MCC",0,0,209,0,0,1388.365,856,0,0,3491.04,0,1681.63,284.7075,0,0,0,489.5,0,0,0,1311.09351351351,136.99,0,0,0,0,0,0,1037.69333333333,0,801.056666666667,0,878.515,1454.74333333333,0,0,0,1127.64956521739,0,0,1039.4,719.333333333333,2577.395,7536.31567567568,7999.7564516129,1384.61857142857,533.343333333333,2702.21655172414,8252.53,0,2519,1881.80909090909,2961,0,1454.74333333333
"Aftercare, musculoskeletal system & connective tissue w/o CC/MCC",0,0,314,0,0,0,132.333333333333,0,0,2592.00285714286,0,0,1200,0,0,0,0,0,0,0,518.267950310559,110.2,5591.455,0,0,0,238.25,0,480.970476190476,0,996,0,808.162857142857,4647.18909090909,1139.38714285714,0,1517.98571428571,769.243703703704,0,0,533,321.943333333333,1474.36428571429,3758.43663316583,3236.31,1090.97631578947,853.851111111111,1115.79801587302,0,0,150,1877.38375,1129.175,0,6165.17480519481
"AICD lead & generator procedures ..... ",0,0,0,0,8952.33666666667,24894.325,0,0,0,2798.605,0,2298.08333333333,197.6,0,0,0,0,0,0,0,1796.66857142857,0,0,0,14631.03,0,0,0,652.06,0,814.13,0,1094.05,9008.49,523.52,0,1728.615,607.8,0,0,0,0,3261.86,760.4,586.44,0,495.186,2609.14285714286,3371.19,0,196,3101.01333333333,0,0,10737.105
"AICD Lead Procedures",0,0,0,0,0,34369.1,0,0,0,0,0,0,104,0,0,0,0,0,0,0,603.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700.48,0,0,0,0,0,0,0,0,472.01,874.42,0,0,0,0,564,0,0
"Alcohol/drug abuse or dependence w/o rehabilitation therapy w MCC ",0,0,852,0,0,1925,3169.91666666667,0,0,2638.684375,0,2251.44363636364,373.686857142857,0,0,3604,625.964285714286,0,0,437.875,2662.76890909091,0,3134.32,0,2777.875,0,0,0,775.376428571429,568.595,674.3,0,0,0,0,0,0,698.958,0,0,1120.20666666667,662.662592592593,1953.73476190476,1120.51083333333,653.394,1183.20714285714,1323.77518518519,2511.16017857143,0,948,0,2227.82294117647,2278.5,0,0
"Alcohol/drug abuse or dependence w/o rehabilitation therapy w/o MCC ",0,0,316,0,0,1909.1,1407.15384615385,0,0,2610.2386407767,228.64,2071.26714285714,328.118443113772,0,0,3148.55,347.333333333333,0,0,358.75,1271.61597647059,354.66,3948.74277777778,0,4995.65333333333,0,0,0,568.213548387097,825.17,766.33025,0,868.387142857143,1703.17,1619.905,0,596.8,463.945289855072,0,330,3591.22333333333,559.956456692913,1459.18651162791,640.258953488372,459.517333333333,760.678666666667,518.277415730337,1176.06388206388,0,1729.92,161.5,1709.11446601942,915.41,0,2299.97
"Alcohol/drug abuse or dependence, left ama",0,0,0,0,0,1899,2671.25,0,0,2605.30153846154,0,1946.775,368.357619047619,0,0,0,255,0,0,0,1141.37651515152,0,0,0,5005.96,0,0,0,394.821666666667,1271.51,778.063333333333,0,0,321.76,0,0,0,364.746086956522,0,0,0,587.806451612903,1431.902,226,297.714285714286,1238,731.539444444444,1060.14210526316,0,0,0,1734.24784615385,0,0,321.76
"Allergic reactions w MCC .................... ",0,0,0,0,0,0,0,0,0,0,0,2312.17,745.666666666667,0,0,0,0,0,0,0,2144.638,0,0,0,0,0,0,0,179.5,0,0,0,1239,351.21,0,0,0,695.692,0,0,1487.2,611.5,2478.98,615.845,393.25,955,646.7675,2052.788,0,0,0,2517.694,423,0,351.21
"Allergic reactions w/o MCC ................. ",0,0,708,0,0,0,786,0,0,2415.765,0,0,208.27,0,0,0,255,0,0,0,829.831851851852,0,0,0,0,0,0,0,253.27,0,738.56,0,995.525,0,0,0,0,412.832727272727,0,0,761.2725,416.285714285714,1094.37928571429,442.766666666667,0,146,1002.39,2238.045,0,0,184,2715.67571428571,967.286666666667,0,0
"Amputat of lower limb for endocrine,nutrit,& metabol dis w CC",0,0,1505.5625,0,0,1899,908.1875,0,0,1648,0,1486,287.75,0,0,0,359.75,0,0,0,1692.06380952381,436.011176470588,4259.5,0,0,0,0,0,235,0,580,0,1171.25,7588.09304347826,942.201333333333,0,1054.20625,466.208571428571,0,0,3892,666.071428571429,1016.41,561.248125,334.28,0,994.481111111111,3260.92043478261,0,0,2044.5,1998.05333333333,0,0,8642.29929347826
"Amputat of lower limb for endocrine,nutrit,& metabol dis w MCC",0,0,0,0,0,2911.5,0,0,0,0,0,0,1538.84666666667,0,0,0,0,0,0,0,2732.82666666667,441.88,0,0,3703,0,0,0,0,545,0,0,511,4995,1499.64333333333,0,1212,1243.50666666667,0,0,0,496.32,451.5,194.03,0,0,1180.29,2261.36666666667,0,0,0,1405.2,0,0,6207
"Amputation for circ sys disorders exc upper limb & toe w CC",3326.68,0,0,0,2145,28015.52,0,0,0,3408.59333333333,0,2246.275,329.63,0,0,0,0,0,0,0,3503.48,391.081111111111,3190,0,5792.86,0,0,0,4038.09,0,522.065,0,3623.65142857143,11501.0423809524,1335.06470588235,0,1875.21210526316,1297.252,0,0,2410.138,0,1191.702,1267.87111111111,905.396153846154,564.095,1962.764375,5593.57333333333,0,0,167,3326.645,1316,0,13376.2544862155
"Amputation for circ sys disorders exc upper limb & toe w MCC",3391.39,0,0,0,9813.21,12122.81,0,0,0,3630.505,0,2298.2075,228,0,0,0,0,0,0,0,6681.9625,352.613333333333,0,0,4836,0,0,0,0,188,473.325,0,2086.8975,15290.44,1609.31,0,2787.7875,880.005,12655.24,0,4205.81833333333,0,1311.28333333333,1743.61166666667,1012.23166666667,1123.11333333333,2586.52571428571,7331.96375,0,0,294,2888.13,215.76,0,18078.2275
"Amputation for circ sys disorders exc upper limb & toe w/o CC/MCC",0,0,0,0,0,0,0,0,0,0,0,0,253.4,0,0,0,0,0,0,0,1171.91333333333,109,0,0,0,0,0,0,0,0,0,0,0,10230.8766666667,1310.395,0,1533.86333333333,0,0,0,1140.35,0,0,720.123333333333,409.53,0,2089.9,1040.30333333333,0,0,0,0,0,0,11764.74
"Amputation for musculoskeletal sys & conn tissue dis w CC",0,0,0,0,0,1951,0,0,0,5395.48,367.32,0,612.5,0,0,0,0,0,0,0,2761.424375,586.463846153846,4933.01,0,4132,0,0,0,0,966,816.575,0,1626.078,11827.975625,1946.936,0,1883.61533333333,556.903,0,0,2419,782.68,560.8,896.815,577.045714285714,0,1743.99111111111,5850.09375,0,0,0,2398.275,0,0,13711.5909583333
"Amputation for musculoskeletal sys & conn tissue dis w MCC",0,0,0,0,0,0,0,0,0,2657.91,0,0,14143.78,0,0,0,0,0,0,0,4841.35,449.266666666667,3451,0,0,0,0,0,0,0,237.09,0,1489.535,16026.3128571429,2166.16666666667,0,2311.37142857143,2320.0525,0,0,1727.53333333333,859.48,2305.77,3923.3,2758.89,1944.5,2507.04166666667,22522.4385714286,5986.97,0,0,5076.62,0,0,18337.6842857143
"Amputation for musculoskeletal sys & conn tissue dis w/o CC/MCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1903.55,304,5244.67,0,0,0,0,0,0,0,0,0,0,12747.155,1488.195,0,2303.665,484.24,0,0,0,0,0,677.53,0,0,227.12,1030.45,0,0,0,0,0,0,15050.82
"Anal & stomal procedures w CC",0,0,0,0,0,0,141,0,0,4686.898,0,0,167.185,0,0,0,147,0,0,0,683.62625,262.616666666667,4189.22,0,0,0,0,0,0,0,0,0,0,6904.45388888889,1057.92,0,1201.17117647059,910.155,0,0,641.9,486.44,139.16,402.02,0,0,1207.49785714286,1209.97111111111,0,10541.85,194,2120.455,1621.5,0,8105.62506535948
"Anal & stomal procedures w MCC",0,0,0,0,0,1899,0,0,0,5425.496,0,0,297,0,0,7340,0,0,0,0,3656.19,525.055,0,0,10847,0,0,0,112.46,966,474.18,0,1657,9772.5675,1641.72333333333,0,1644.095,3959.615,0,0,2050.75,737.846666666667,5324.74,781.88,379.186666666667,0,1730.786,9882.958,0,0,0,2649.8325,0,0,11416.6625
"Anal & stomal procedures w/o CC/ MCC",0,0,0,0,0,0,282,0,0,5663.1,0,0,178.7,0,0,0,123,0,0,0,607.293,265.138181818182,0,0,0,0,0,0,0,0,0,0,0,8064.64789473684,1191.29277777778,0,1288.36888888889,908.91,0,0,232,0,0,603.285,469,0,1177.748125,833.9435,0,0,0,1899.55,0,0,9353.01678362573
"Angina pectoris ",0,0,463.333333333333,0,0,1935.5,624.423076923077,0,0,2600.31823529412,0,2073.80523809524,543.217966101695,0,0,0,320,0,539.89,0,1532.09079365079,0,1766,0,4000.06260869565,0,0,0,475.12,958.219583333333,574.076666666667,0,802.025,0,0,0,0,441.175454545455,0,0,0,810.509166666667,352.764285714286,535.99,395.695,286,416.132727272727,1075.248125,0,0,135,1417.80645833333,992.332857142857,0,0
"Appendectomy w complicated principal diag w CC",0,0,722.375,0,0,1925,501.875,0,0,3576.41333333333,0,0,321.924,0,0,0,537,0,0,0,1137.94777777778,229.996071428571,3435.3,0,0,0,0,0,186.763333333333,0,1533.804,0,1564.44,9274.56,1137.11441176471,0,1195.29151515152,576.339230769231,0,0,1277.35,413.395833333333,404.682,1356.82,0,0,2419.02821428571,2512.59833333333,0,0,165,2029.58466666667,2653.5,0,10469.8515151515
"Appendectomy w complicated principal diag w MCC",0,0,516,0,0,0,751,0,0,6284.23428571429,0,0,309,0,0,0,468,0,0,0,3911.78,288.011666666667,0,0,0,0,0,0,0,0,764.38,0,932,10232.59875,891.048571428571,0,1399.59285714286,843.508571428571,0,0,0,341,1492.13666666667,432.5,0,0,4051.30428571429,3986.30375,0,0,0,3781.14571428571,364,0,11632.1916071429
"Appendectomy w complicated principal diag w/o CC/MCC",0,0,659,0,0,0,384,0,0,3791.77,0,0,188.645,0,0,0,319,0,0,0,689.975714285714,202.997346938776,3435.3,0,0,0,0,0,350.6,0,1181.05916666667,0,1015.81,9076.97323529412,1248.171875,0,1233.77580645161,545.645555555556,0,330,0,604.089411764706,204.325,308,0,0,2178.42224137931,1332.71661764706,0,0,1936,2118.75050847458,1528.412,0,10310.7490417457
"Appendectomy w/o complicated principal diag w CC",0,0,484.5,0,0,1951,440.357142857143,0,0,2926.95869565217,0,0,231.222222222222,0,0,0,246,583.77,0,0,691.9788,244.437857142857,0,0,0,0,0,0,154.5,0,1360.44833333333,0,1155.67,8961.01133333333,1211.22464285714,0,938.852692307692,555.7125,0,0,1224.175,831.25,999.5,453,318,0,2132.07294117647,1693.48133333333,0,0,0,1502.28703703704,3367.33333333333,0,9899.86402564103
"Appendectomy w/o complicated principal diag w MCC",0,0,0,0,0,0,0,0,0,7484.12,0,0,230.12,0,0,0,0,0,0,0,3098.868,166.3575,1443.75,0,0,0,0,0,577.575,0,558.6,0,813.23,12633.926,981.972,0,1294.838,1021.248,0,0,519.7,419.09,5340,6490.84,2159.72,2294.28,3325.858,8031.904,0,0,0,2201.216,877,0,13928.764
"Appendectomy w/o complicated principal diag w/o CC/MCC",0,0,0,0,0,1951,266.857142857143,0,0,2668.67226190476,0,2312.17,233.624117647059,0,0,0,217,389.18,0,283,434.36,232.462988505747,0,0,4132,0,0,0,231,966,891.936,0,988.313333333333,7272.11961538461,1435.2387254902,0,1053.57643564356,454.534666666667,0,0,0,693.284150943396,466.283333333333,539.02,0,0,2436.5561038961,1076.11854368932,0,0,246.666666666667,1423.77520833333,1925.25,0,8325.69605102818
"Arthroscopy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,6052,2610,0,1700,358,0,0,0,0,0,0,422,0,1226.68,0,0,0,674,0,0,0,7752
"Atherosclerosis w MCC",0,0,0,0,0,1951,1446,0,0,3889.05333333333,0,2151.97,349.80125,0,0,0,398,0,0,0,2090.73857142857,142.47,653.54,0,3499.79,0,0,0,366,1063.73,800,0,903.41,1800,890.17,0,2598.75,1161.62142857143,0,0,0,285.276666666667,2387.88333333333,385.135,0,0,556.874,1489.30625,750.23,0,137,1905.36166666667,619.79,0,4398.75
"Atherosclerosis w/o MCC ",0,0,1035,0,0,1580.54333333333,565.857142857143,0,0,3051.88285714286,0,2140.6575,497.015,0,0,0,246,0,0,0,1397.81,0,0,0,4304.14571428571,0,0,0,426.757777777778,1018.41380952381,581.33,0,1094.05,160.88,0,0,0,393.20475,0,0,2218.15,1115.458,1108.209,473.344285714286,362.05,495.83,668.267692307692,1420.93837209302,0,0,286,1536.72219512195,2486.40714285714,0,160.88
"Bacterial & tuberculous infections of nervous system w CC",0,0,0,0,0,0,0,0,0,2532.435,0,0,467.11,2340.56,0,0,0,0,0,0,2061.67111111111,805.965,7744.086,0,0,0,0,0,0,0,800,0,0,872.31,1047.04,0,696.01,369.913333333333,0,0,0,0,0,1259.68714285714,848.405,798.96,307.26,16972.8811111111,0,0,194,2281.16714285714,0,0,1568.32
"Bacterial & tuberculous infections of nervous system w MCC",0,0,2396,0,0,0,2617.25,0,0,4808.28,0,3512.55333333333,1414.51428571429,1594,0,0,582,0,0,120,3477.518,648.423333333333,7178.90111111111,0,0,0,0,0,236.635,0,690,0,0,3448.20142857143,0,0,2475.97,1044.56222222222,0,0,1559.1,743.508,6994.442,1694.595,1340.174,885.6925,3627.94666666667,13399.693,0,0,1111,4769.4525,0,0,5924.17142857143
"Bacterial & tuberculous infections of nervous system w/o CC/MCC",0,0,183,0,0,0,1034,0,0,4556.46333333333,0,0,1101.5225,1814.66,0,0,0,0,0,198,2016.80222222222,102.63,0,0,0,0,0,0,0,0,242.2,0,621.73,1577.62,0,0,0,599.635,0,0,0,0,0,1914.02857142857,1692.946,450.75,1035.51,28498.81875,0,0,0,2402.64714285714,282,0,1577.62
"Behavioral & developmental disorders ",0,0,0,0,0,0,0,0,0,1648,0,0,0,0,0,0,0,0,0,0,810.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,726,318,0,0,3450.24,0,0,0,1711.515,0,0,0
"Benign prostatic hypertrophy w/o MCC",0,0,0,0,0,434,956.833333333333,0,0,4162.12166666667,0,1998,470.806,0,0,0,431,0,0,0,1245.855,207.976666666667,0,0,2967.57,0,0,0,1269,0,813.376666666667,0,399,10497.0533333333,2171.35,0,1194.86,788.0675,0,0,1039.4,452,188,777.44,0,708.19,665.114444444444,1363.69,0,0,0,1422.22,587.5,0,11691.9133333333
"Bilateral or multiple major joint procs of lower extremity w MCC ",0,0,0,0,0,0,0,0,0,1778.335,0,0,800,0,0,0,0,0,0,0,1366.4725,0,0,0,0,0,0,0,241.48,0,0,0,621.73,22786,3117.36,0,3277.3375,806.6475,0,0,0,0,1050.95,3022.29,1573.75333333333,0,15052.19,1803.7025,0,0,0,0,0,0,26063.3375
